k   	λ^{(k)}         	ζ_{comp}(λ^{(k)}	X_k 	how column ends
----	----------------	----------------	----	------------------
0   	150             	132             	69  	above ΛM_{comp}
1   	18225/122       	8019/61         	74  	above ΛM_{comp}
2   	16659/112       	183249/1400     	71  	above ΛM_{comp}
3   	10216/69        	224752/1725     	72  	above ΛM_{comp}
4   	1769/12         	19459/150       	71  	above ΛM_{comp}
5   	16727/114       	183997/1425     	70  	above ΛM_{comp}
6   	20019/137       	440418/3425     	72  	above ΛM_{comp}
7   	28213/194       	310343/2425     	68  	above ΛM_{comp}
8   	30997/214       	340967/2675     	73  	above ΛM_{comp}
9   	8505/59         	37422/295       	67  	above ΛM_{comp}
10  	27418/191       	603196/4775     	69  	above ΛM_{comp}
11  	14714/103       	323708/2575     	69  	above ΛM_{comp}
12  	14221/100       	156431/1250     	68  	above ΛM_{comp}
13  	23644/167       	520168/4175     	70  	above ΛM_{comp}
14  	6904/49         	151888/1225     	68  	above ΛM_{comp}
15  	15009/107       	330198/2675     	68  	above ΛM_{comp}
16  	12424/89        	273328/2225     	66  	above ΛM_{comp}
17  	12229/88        	12229/100       	66  	above ΛM_{comp}
18  	31678/229       	696916/5725     	67  	above ΛM_{comp}
19  	58633/426       	644963/5325     	68  	above ΛM_{comp}
20  	9043/66         	9043/75         	68  	above ΛM_{comp}
21  	8999/66         	8999/75         	64  	above ΛM_{comp}
22  	7461/55         	14922/125       	66  	above ΛM_{comp}
23  	26874/199       	591228/4975     	65  	above ΛM_{comp}
24  	14644/109       	322168/2725     	63  	above ΛM_{comp}
25  	21535/161       	94754/805       	67  	above ΛM_{comp}
26  	5722/43         	125884/1075     	61  	above ΛM_{comp}
27  	8075/61         	7106/61         	67  	above ΛM_{comp}
28  	13304/101       	292688/2525     	63  	above ΛM_{comp}
29  	23721/181       	521862/4525     	62  	above ΛM_{comp}
30  	9913/76         	109043/950      	65  	above ΛM_{comp}
31  	16741/129       	368302/3225     	60  	above ΛM_{comp}
32  	29057/225       	639254/5625     	63  	above ΛM_{comp}
33  	5139/40         	56529/500       	60  	above ΛM_{comp}
34  	15982/125       	351604/3125     	62  	above ΛM_{comp}
35  	9284/73         	204248/1825     	64  	above ΛM_{comp}
36  	14551/115       	320122/2875     	60  	above ΛM_{comp}
37  	18377/146       	202147/1825     	63  	above ΛM_{comp}
38  	9517/76         	104687/950      	61  	above ΛM_{comp}
39  	16320/131       	71808/655       	63  	above ΛM_{comp}
40  	7060/57         	31064/285       	59  	above ΛM_{comp}
41  	2957/24         	32527/300       	60  	above ΛM_{comp}
42  	26227/214       	288497/2675     	59  	above ΛM_{comp}
43  	39503/324       	434533/4050     	56  	above ΛM_{comp}
44  	137619/1135     	3027618/28375   	60  	above ΛM_{comp}
45  	4343/36         	47773/450       	58  	above ΛM_{comp}
46  	12839/107       	282458/2675     	59  	above ΛM_{comp}
47  	18738/157       	412236/3925     	58  	above ΛM_{comp}
48  	20885/176       	4177/40         	54  	above ΛM_{comp}
